,0001,0002,0003,0005
2026-02-23,64.25,77.4000015258789,7.690000057220459,135.89999389648438
2026-02-24,62.54999923706055,77.0,7.690000057220459,135.3000030517578
2026-02-25,62.0,75.05000305175781,7.619999885559082,142.6999969482422
2026-02-26,64.80000305175781,73.4000015258789,7.53000020980835,145.0
2026-02-27,64.4000015258789,74.19999694824219,7.610000133514404,147.3000030517578
2026-03-02,62.650001525878906,74.1500015258789,7.559999942779541,139.6999969482422
2026-03-03,62.650001525878906,74.80000305175781,7.699999809265137,135.8000030517578
2026-03-04,59.849998474121094,73.3499984741211,7.539999961853027,130.8000030517578
2026-03-05,61.150001525878906,74.55000305175781,7.53000020980835,133.89999389648438
2026-03-06,60.70000076293945,74.44999694824219,7.519999980926514,133.39999389648438
